id,name,contents,homepage,address,tel,hour,coordinate
,,,,,,,
1.0,3.1만세운동길,	청라언덕 동무생각 노래비 옆에서 시내 쪽으로 내려가는 90계단까지는 3.1운동 당시 만세운동을 준비하던 학생들이 일본군의 감시를 피해 도심으로 모이기 위해 지나다녔던 솔밭길이다. 계단길에는 3.1운동 당시 모습이 담긴 사진들이 전시되어 그 의미를 더하고 있다.	,,대구광역시 중구 국채보상로102길 일대,053-661-2623,이용시간|,"[35.8690422, 128.5859122]"
2.0,83타워(83 TOWER DAEGU),"""도심 속에 우뚝 솟은 대구의 랜드마크
두류공원(頭流公園) 내에 위치한 유럽형 테마공원에 조성된 83타워(높이 202m)는 대구 전경을 한눈에 내려다 볼 수 있는 관광명소로 다보탑 형태의 팔각형 탑신을 자랑하며 한국의 전통 건축미를 재현하고 있다. ",http://83tower.kr,대구광역시 달서구 두류공원로 200,053-620-0001,"이용시간|주중 09:00 ~ 18:00, 토ㆍ일ㆍ공휴일 09:00 ~ 19:00, 4~10월 매주 토요일 09:00 ~ 21:00, 매월 마지막 주 수요일 09:00 ~ 21:00","[35.8540248, 128.5634167]"
3.0,CGV 대구 수성,"	수성구 동화백화점 8층에 위치하고 있으며, 4개관 전체좌석수 804석의 영화관이다.	",http://www.cgv.co.kr,대구광역시 수성구 지범로 191(동아백화점 8층),1544-1122,이용시간|,"[35.8211238, 128.6404645]"
4.0,CGV 대구 한일,"	CGV 대구한일이 옛 명성 그대로, 그 자리에 차별화된 감동과 사운드, 안락함을 함께 느낄 수 있도록 최첨단 시설을 갖춘 5개관의 전체 좌석수 832석의 복합 멀티플렉스 영화관으로 리모델링하였다.	",http://www.cgv.co.kr,"대구광역시 중구 동성로 39, 7층(성내1동)",1544-1122,이용시간|,"[35.8704973, 128.5953778]"
5.0,DTC섬유박물관,"	"" 섬유의 메카 대구에 세워진 국내 유일한 섬유 전문 박물관
‣ 국내 섬유 산업과 패션의 변천사부터 미래까지 한 눈에 볼 수 있는 전시 체험 공간.
2, 3, 4층 규모로 단체 관람도 가능
‣ 5세~9세까지 이용 가능한 어린이 체험실 무료 운영. 옷 제작 과정과 바느질 도구 체험 등을 진행한다. 온라인 또는 현장 사전 예약 필수
‣ 모유수유실과 육아휴게실, 물품보관실 등 편의시설이 잘 갖춰져 있음""	",www.dtmuseum.org,대구광역시 동구 팔공로 227(봉무동),053-980-1004,이용시간|09:00~18:00 ※관람 종료시간 1시간 전까지 입장 가능,"[35.9310839, 128.6448443]"
6.0,MMC(만경관),"	대구 최대, 최고의 멀티플렉스 MMC만경관은 국내 최초, 순수 국내자본과 국내 노하우로 운영되는 MMC는 영화가 보고 싶을 때 가장 먼저 들러보게 되는 곳이다.	",http://www.immc.co.kr,대구광역시 중구 국채보상로 547,1577-1015,이용시간|,"[35.8709183, 128.5904288]"
,,,,,,,
8.0,갓바위,"	""돌계단 1,365개 한 칸 한 칸 오르며 갓바위에서 소원 빌기
‣ 갓바위는 정성껏 기도하는 사람의 소원 한 가지는 꼭 들어준다는 전설을 간직하고 있다
‣ 갓바위가 있는 관봉에 올라서면 팔공산 능선과 구불구불한 길이 겹겹이 펼쳐진다
‣ 보물 제431호로 지정된 관봉석조여래좌상 앞에서 정성스레 기도를 올리는 사람들로
사시사철 붐빈다""	",,대구광역시 동구 갓바위로 229,053-983-8586,이용시간|상시,"[35.9711164, 128.7262124]"
9.0,강정고령보 - 디아크(The ARC),""" 물과 자연과 문화가 오롯이 담긴 건축예술품
‣ 강과 물, 자연을 모티브로 건축한 디아크는 예술적인 외관으로 사랑 받는다
‣ 디아크 주변으로 조성된 수변 공간, 자전거길은 주민의 녹색쉼터로 활용
‣ 지하 1층 전시관은 4대강문화관으로 꾸며진다. 1층과 2층은 생명의 순환을 테마로 하는 서클영상존이다. 최고의 힐링 장소는 디아크의 3층 전망대  ""	",http://www.riverguide.go.kr/kor/page.do?menuIdx=381,대구광역시 달성군 다사읍 강정본길 57,053-585-0916~7,이용시간|10시~18시 매주 월요일 휴관,"[35.8466589, 128.4645119]"
